smiles,QED
CCOc1ccc2nc(S(N)(=O)=O)sc2c1,0.9002834195387214
CCN1C(=O)NC(c2ccccc2)C1=O,0.7380128478007799
CC[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C,0.6662692979783309
CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C,0.8222609245677037
CC(O)(P(=O)(O)O)P(=O)(O)O,0.36558296000069435
CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C,0.4974864069356495
O=S(=O)(Cl)c1ccccc1,0.6097236773026035
O=C(O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1,0.4893044482396905
OC[C@H](O)[C@@H](O)[C@H](O)CO,0.2963895134660185
CCCCCCCC(=O)[O-].CCCCCCCC(=O)[O-].[Zn+2],0.39851002871673735
NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,0.0767773571622719
O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I,0.578029884636738
CC(C)COC(=O)C(C)C,0.5648358693923418
C=C(C)C(=O)OCCOC(=O)C(=C)C,0.37846712598231386
Cl/C=C\C[N+]12CN3CN(CN(C3)C1)C2,0.6118376030598358
O=C([O-])Cc1cccc2ccccc12,0.7032730051539176
CCCCCCCCCCOCC(O)CN,0.507287942288908
CCN(CC)C(=O)c1cccnc1,0.703412369622264
COc1cc(O)cc(O)c1,0.6138178268488289
CCOC(=O)c1cccnc1,0.5970980588686806
CCOc1ccc(S(=O)(=O)O)c2cccnc12,0.8450076608641623
O=C(O)[C@H](O)c1ccccc1,0.6586905854079069
Nc1ccc(/N=N/c2ccccc2)cc1,0.5789748062022296
CN[C@@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,0.8388324899809108
CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)c1cc(Cl)cc(Cl)c1)C2,0.7782480093876013
CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,0.8178744322781548
C#CCO,0.37468964677801264
